ServiceDate,Routes,RouteName,CurrentRevenue,Ridership,TokenCount,TicketCount,PassCount,BillCount,UnclassifiedRevenue,DumpCount
5/11/2016,605,605-MED./BRAUN,96.42,158,0,0,75,41,8.93,20
5/11/2016,606,606-INGRAM/NEW TERRITORIES      ,170.48,446,0,0,245,89,15.19,59
5/11/2016,607,607-CROSS./INGR.,148.28,323,0,0,182,64,9.87,34
5/11/2016,609,609-BRAUN/INGR,105.91,330,1,0,204,54,4.46,33
5/11/2016,610,610-N.W. CROSSING,242.95,544,1,0,334,130,13.32,67
5/11/2016,611,611-VALLEY HI,134.17,306,0,0,185,69,6.03,37
5/11/2016,612,612-WESTLAKES,99.86,232,0,0,127,59,3.61,31
5/11/2016,613,613-HERITAGE NW,269.87,549,0,0,306,145,8.42,67
5/11/2016,614,614-HIDDEN COVE,160.13,358,1,0,215,87,16.85,44
5/11/2016,615,615-HERITAGE PK.,205.6,440,0,0,258,115,44.88,72
5/11/2016,616,616-SKY HARBOUR,156.34,365,0,0,211,83,11.42,36
5/11/2016,617,617-RAINBOW HILLS,161.87,394,0,0,218,88,7.75,37
5/11/2016,618,618-WLAKES/ING.,108.39,233,0,0,140,57,4.85,25
5/11/2016,619,619-INDIAN CREEK,105.01,255,0,0,166,51,3.6,27
5/11/2016,620,620-BRAUN./MED.,145.23,458,0,0,231,82,7.18,39
5/11/2016,630,630-SUNRISE,311.64,757,0,0,455,173,14.97,81
5/11/2016,632,632-WOODLAKE,326.51,786,0,0,454,177,17.76,83
5/11/2016,640,640-NACO PASS/ROLLING OAKS      ,72.66,153,0,0,83,43,2.61,13
5/11/2016,641,641-NACO PASS/ROLLING OAKS      ,76.82,156,0,0,69,34,1.58,19
5/11/2016,642,642-NACO PASS/SELMA             ,133.32,293,0,0,168,78,6.36,28
5/11/2016,647,647-TERRELL PLZ.,150.55,372,0,0,232,87,6.65,44
5/11/2016,648,648-HOLLYWOOD PK.,128.74,355,0,0,205,79,6.2,32
5/11/2016,651,651-CASTLE HILLS ,203.9,584,0,0,258,102,11.42,65
5/11/2016,660,660-UNIV P&R / NW VISTA,89.89,271,0,0,103,51,4.53,18
5/12/2016,2,2-BLANCO RD.,1270.47,3010,0,0,1705,690,79.54,365
5/12/2016,3,3-SAN PEDRO,461.69,1951,0,0,1327,252,58.13,157
5/12/2016,4,4-SAN PEDRO,817.66,2802,0,0,1704,442,64.18,253
5/12/2016,5,5-MC CULLOUGH,557.75,1476,0,0,904,304,23.34,153
5/12/2016,6,6-US 281 Express,76.3,341,0,0,226,39,8.02,13
5/12/2016,7,7-FUNSTON,51.58,93,0,0,51,26,4.73,10
5/12/2016,8,8-N.ST.MARYS,499.03,1186,0,0,724,248,22.82,128
5/12/2016,9,9-BROADWAY,420.28,1224,0,0,794,232,18.11,129
5/12/2016,10,10-NACO./BROAD.,407.66,1367,0,0,850,218,15.82,122
5/12/2016,14,14-PERRIN BEITL,912.5,2641,0,0,1651,489,35.16,235
5/12/2016,17,17-RANDOLPH P/R,250.92,1024,0,0,625,153,20.27,44
5/12/2016,20,20-NEW BRAUNFELS,1201.75,4001,1,0,2536,636,69.03,351
5/12/2016,21,21-KIRBY,583.1,1390,1,0,794,316,27.88,156
5/12/2016,22,22-NOLAN,262.84,1091,0,0,688,138,36.43,94
5/12/2016,24,24-E.HOUSTON,518.73,1317,0,0,786,265,21.97,131
5/12/2016,25,25-EAST COMMERCE,514.57,1460,1,0,842,281,39.95,153
5/12/2016,26,26-M.L. KING,452.7,1469,0,0,831,253,43.1,131
5/12/2016,28,28-PORTER,709.49,1766,1,0,1013,401,32.36,199
5/12/2016,30,30-RIGSBY,459.16,1074,0,0,567,256,22.3,134
5/12/2016,32,32-STEVES AVENUE,446.89,930,0,0,432,220,35.9,117
